Division,0
Teams,36
Number,Name,School,City,State,Country
724,RedNek Robotics Wun,,,,
5026,Tesla Coils,,,,
6935,PARADOX,,,,
2844,Valley X Robotics,,,,
8471,The Ducks,,,,
3480,FrostByte,,,,
6978,Pioneer Robotics,,,,
5223,Grizzly Robotics,,,,
7013,Hot Wired Robotics,,,,
8640,Trojan Robotics,,,,
6932,Animosus,,,,
3526,Marlbots,,,,
6382,Robo Wizards 2.0,,,,
4625,Kings and Queens,,,,
4322,PHI Omega,,,,
7591,Voltage of Imagination,,,,
8778,The Grid Skippers,,,,
5961,Vashon Rock Solid Robotics,,,,
6424,Oly Cow,,,,
8476,Chunky Bears,,,,
5326,The Enterprisers,,,,
8466,The Fellowship of the Robot,,,,
6565,Stuffed Dragons,,,,
8496,Heat It Up and Keep It Cool,,,,
9164,Zorrobots,,,,
4790,Area 52 Robotics,,,,
2856,Tesseract,,,,
7364,Mindbot Maniacs,,,,
7333,Combustible Lemons,,,,
6930,Syntax Error 42,,,,
7104,Synergists,,,,
5895,The Ladybots,,,,
9112,Skeleton Crew,,,,
5206,The Knights of Ni,,,,
4954,Cuz Y Not,,,,
5157,The Metal That MovesTM,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,724,RedNek Robotics Wun,18,3005,793,9
2,5026,Tesla Coils,16,2632,675,9
3,6935,PARADOX,16,2191,464,9
4,2844,Valley X Robotics,14,2704,633,9
5,8471,The Ducks,14,2364,631,9
6,3480,FrostByte,12,2936,631,9
7,6978,Pioneer Robotics,12,2696,677,9
8,5223,Grizzly Robotics,12,2430,675,9
9,7013,Hot Wired Robotics,10,3028,706,9
10,8640,Trojan Robotics,10,2917,520,9
11,6932,Animosus,10,2866,603,9
12,3526,Marlbots,10,2691,664,9
13,6382,Robo Wizards 2.0,10,2103,633,9
14,4625,Kings and Queens,10,1918,627,9
15,4322,PHI Omega,10,1853,433,9
16,7591,Voltage of Imagination,8,2937,519,9
17,8778,The Grid Skippers,8,2661,647,9
18,5961,Vashon Rock Solid Robotics,8,2623,483,9
19,6424,Oly Cow,8,2487,555,9
20,8476,Chunky Bears,8,2473,626,9
21,5326,The Enterprisers,8,2382,486,9
22,8466,The Fellowship of the Robot,8,2267,597,9
23,6565,Stuffed Dragons,8,2203,793,9
24,8496,Heat It Up and Keep It Cool,8,2078,555,9
25,9164,Zorrobots,8,1941,570,9
26,4790,Area 52 Robotics,6,3133,520,9
27,2856,Tesseract,6,2594,500,9
28,7364,Mindbot Maniacs,6,2338,482,9
29,7333,Combustible Lemons,6,2290,716,9
30,6930,Syntax Error 42,6,2272,579,9
31,7104,Synergists,6,2268,509,9
32,5895,The Ladybots,6,2045,500,9
33,9112,Skeleton Crew,6,1436,477,9
34,5206,The Knights of Ni,4,2622,706,9
35,4954,Cuz Y Not,4,2478,515,9
36,5157,The Metal That MovesTM,4,2062,502,9
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
P-1, ,2856,5026,0,4954,8778,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-2, ,7364,8471,0,5895,5326,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-3, ,3526,6935,0,8496,8466,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-4, ,4322,7591,0,4625,7333,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-5, ,5157,724,0,2844,9164,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-6, ,8640,6565,0,4790,6424,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-7, ,7104,8476,0,5223,6932,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-8, ,5961,3480,0,6978,6930,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-9, ,9112,7013,0,6382,5206,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q-1,84-356 B,9112,9164,0,7591,4322,0,84.0,50.0,0.0,24.0,0.0,10.0,356.0,80.0,0.0,186.0,90.0,0.0
Q-2,486-369 R,5326,5026,0,6424,8640,0,486.0,50.0,0.0,270.0,166.0,0.0,369.0,50.0,0.0,239.0,50.0,30.0
Q-3,153-111 R,6935,724,0,5223,6382,0,153.0,50.0,0.0,83.0,10.0,10.0,111.0,0.0,0.0,51.0,60.0,0.0
Q-4,401-405 B,8496,4790,0,3526,6978,0,401.0,140.0,0.0,39.0,222.0,0.0,405.0,80.0,0.0,83.0,242.0,0.0
Q-5,403-631 B,6932,4954,0,3480,8471,0,403.0,20.0,0.0,207.0,166.0,10.0,631.0,110.0,0.0,279.0,212.0,30.0
Q-6,482-308 R,8476,7364,0,5961,6565,0,482.0,20.0,0.0,308.0,154.0,0.0,308.0,20.0,0.0,168.0,110.0,10.0
Q-7,266-579 B,5206,8778,0,7013,6930,0,266.0,50.0,0.0,196.0,20.0,0.0,579.0,70.0,0.0,267.0,242.0,0.0
Q-8,264-416 B,7104,7333,0,5157,2844,0,264.0,40.0,0.0,54.0,170.0,0.0,416.0,80.0,0.0,144.0,192.0,0.0
Q-9,500-140 R,5895,2856,0,8466,4625,0,500.0,110.0,0.0,296.0,84.0,10.0,140.0,50.0,0.0,30.0,50.0,10.0
Q-10,312-581 B,4790,9164,0,5026,724,0,312.0,50.0,0.0,122.0,140.0,0.0,581.0,130.0,0.0,189.0,232.0,30.0
