Division,0
Teams,36
Number,Name,School,City,State,Country
8221,Cubix^3,,,,
28,PolyGnomes,,,,
4318,Green Machine - Reloaded!,,,,
7953,Vertigo,,,,
7182,Mechanical Paradox,,,,
5916,Bo-Bots,,,,
6055,GearTicks,,,,
8644,The Brainstormers,,,,
6347,Geared Up,,,,
365,MOE,,,,
4137,Islandbots,,,,
3113,Some Disassembly Required,,,,
2753,Team Overdrive,,,,
4029,2 Bits and a Byte,,,,
5421,RM'd and Dangerous,,,,
6996,Oncoming Storm,,,,
8462,Friends, Robots, Countrymen!,,,,
4924,Tuxedo Pandas,,,,
8509,Steel Serpents,,,,
3774,Hive Voltage,,,,
7120,Bionica,,,,
6029,Robowiz,,,,
5169,Watt's Up?,,,,
8379,The Parity Bits,,,,
3477,Geeks in Just Their Underpants,,,,
7266,Dragonettes,,,,
5378,Team Aperture,,,,
121,Rhode Rage,,,,
4531,Purple Chaos,,,,
9244,Lenape Robotics,,,,
8391,W-Prime Robotics,,,,
207,Critical Mass,,,,
6719,Piotech,,,,
5030,ClashBots,,,,
5308,Orange Hornets,,,,
7423,Flaming Phoenix,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,8221,Cubix^3,16,3079,746,9
2,28,PolyGnomes,16,2255,568,9
3,4318,Green Machine - Reloaded!,16,2010,728,9
4,7953,Vertigo,14,2871,746,9
5,7182,Mechanical Paradox,14,2752,765,9
6,5916,Bo-Bots,14,2419,666,9
7,6055,GearTicks,14,2395,643,9
8,8644,The Brainstormers,14,2333,765,9
9,6347,Geared Up,14,2024,587,9
10,365,MOE,12,2875,585,9
11,4137,Islandbots,12,2803,522,9
12,3113,Some Disassembly Required,12,2276,619,9
13,2753,Team Overdrive,10,3259,667,9
14,4029,2 Bits and a Byte,10,2818,616,9
15,5421,RM'd and Dangerous,10,2727,534,9
16,6996,Oncoming Storm,10,2659,629,9
17,8462,Friends, Robots, Countrymen!,10,2295,551,9
18,4924,Tuxedo Pandas,10,1975,480,9
19,8509,Steel Serpents,8,2013,536,9
20,3774,Hive Voltage,8,1971,693,9
21,7120,Bionica,8,1684,405,9
22,6029,Robowiz,8,1670,500,9
23,5169,Watt's Up?,6,2510,458,9
24,8379,The Parity Bits,6,2355,451,9
25,3477,Geeks in Just Their Underpants,6,1858,579,9
26,7266,Dragonettes,6,1830,607,9
27,5378,Team Aperture,6,1815,604,9
28,121,Rhode Rage,6,1708,651,9
29,4531,Purple Chaos,6,1625,643,9
30,9244,Lenape Robotics,6,1363,633,9
31,8391,W-Prime Robotics,4,2009,500,9
32,207,Critical Mass,4,1699,396,9
33,6719,Piotech,4,1557,456,9
34,5030,ClashBots,2,1834,495,9
35,5308,Orange Hornets,2,1780,440,9
36,7423,Flaming Phoenix,0,2002,520,9
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
Q-1,495-634 B,5030,2753,0,7182,6055,0,495.0,110.0,0.0,133.0,212.0,40.0,634.0,120.0,0.0,270.0,184.0,60.0
Q-2,192-160 R,28,8379,0,5308,4924,0,192.0,50.0,0.0,22.0,120.0,0.0,160.0,50.0,0.0,0.0,60.0,50.0
Q-3,162-619 B,7423,7266,0,8644,3113,0,162.0,50.0,0.0,22.0,40.0,50.0,619.0,110.0,0.0,267.0,242.0,0.0
Q-4,250-131 R,6996,6029,0,4531,8509,0,250.0,50.0,0.0,110.0,90.0,0.0,131.0,0.0,0.0,71.0,60.0,0.0
Q-5,250-20 R,7120,4318,0,3477,9244,0,250.0,40.0,0.0,0.0,10.0,200.0,20.0,20.0,0.0,0.0,0.0,0.0
Q-6,162-394 B,207,6347,0,8462,5169,0,162.0,20.0,0.0,0.0,142.0,0.0,394.0,70.0,0.0,264.0,60.0,0.0
Q-7,492-371 R,5421,5916,0,4029,3774,0,492.0,50.0,0.0,180.0,262.0,0.0,371.0,20.0,0.0,261.0,80.0,10.0
Q-8,522-338 R,7953,4137,0,365,5378,0,522.0,160.0,0.0,192.0,170.0,0.0,338.0,50.0,0.0,218.0,70.0,0.0
Q-9,40-651 B,6719,8391,0,121,8221,0,40.0,20.0,0.0,0.0,10.0,10.0,651.0,20.0,0.0,319.0,262.0,50.0
Q-10,352-80 R,28,4318,0,5030,8509,0,352.0,20.0,0.0,90.0,242.0,0.0,80.0,20.0,0.0,0.0,10.0,50.0
Q-11,667-163 R,8644,2753,0,207,9244,0,667.0,70.0,0.0,375.0,222.0,0.0,163.0,70.0,0.0,33.0,60.0,0.0
Q-12,299-178 R,7266,6055,0,8379,7120,0,299.0,70.0,0.0,123.0,106.0,0.0,178.0,100.0,0.0,0.0,78.0,0.0
Q-13,350-450 B,4531,8462,0,3113,3477,0,350.0,40.0,0.0,240.0,30.0,40.0,450.0,20.0,0.0,192.0,238.0,0.0
Q-14,587-501 R,8221,6347,0,365,5421,0,587.0,50.0,0.0,275.0,262.0,0.0,501.0,80.0,0.0,215.0,206.0,0.0
Q-15,448-341 R,4137,6719,0,4029,8391,0,448.0,110.0,0.0,36.0,30.0,272.0,341.0,50.0,0.0,261.0,20.0,10.0
Q-16,316-480 B,3774,6996,0,4924,7953,0,316.0,0.0,0.0,114.0,182.0,20.0,480.0,80.0,0.0,88.0,242.0,70.0
Q-17,147-604 B,121,5169,0,5378,7182,0,147.0,20.0,0.0,27.0,100.0,0.0,604.0,90.0,0.0,308.0,186.0,20.0
Q-18,170-500 B,5308,7423,0,6029,5916,0,170.0,20.0,0.0,0.0,100.0,50.0,500.0,20.0,0.0,108.0,272.0,100.0
Q-19,405-430 B,3113,7120,0,28,6347,0,405.0,20.0,0.0,165.0,220.0,0.0,430.0,50.0,0.0,204.0,176.0,0.0
Q-20,616-607 R,8221,4029,0,7266,2753,0,616.0,120.0,0.0,214.0,272.0,10.0,607.0,140.0,0.0,285.0,182.0,0.0
