Division,0
Teams,36
Number,Name,School,City,State,Country
6022,TBD - To Be Determined,,,,
519,Ed Too -Pokemon Trainers,,,,
3085,Higgs Bots,,,,
8498,The Evil Purple Sox,,,,
4017,Robopandas,,,,
40,HAX Robotics,,,,
3415,Lancers,,,,
5414,Techie Tornados,,,,
5319,Wolverines,,,,
7176,Bionic Tigers,,,,
4174,Atomic Theory,,,,
9372,Standard Model,,,,
4082,RoboSpartans,,,,
8405,Milburn Robotics,,,,
5069,Robogamers,,,,
5602,Bionic Gaels,,,,
8521,Hard-Hitting Hardware Hooligans,,,,
8645,Robotic Doges,,,,
7117,The Blockheads,,,,
5017,RoboEpic,,,,
4347,NanoGurus,,,,
154,Renegade Robotics,,,,
8227,Enginuity,,,,
8129,Cane Bots,,,,
8390,Nerd Herd,,,,
3540,Roboboogie,,,,
4554,Robo Mustangs,,,,
7244,Out of the Box,,,,
6081,i²robotics,,,,
7350,Watt's NXT?,,,,
6700,X-bots,,,,
6955,Robovines,,,,
310,StuyFission,,,,
5272,Heptahelix,,,,
6037,W.A.G.S.,,,,
7487,Suffern's Super Seven,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,6022,TBD - To Be Determined,16,3589,727,9
2,519,Ed Too -Pokemon Trainers,16,2189,639,9
3,3085,Higgs Bots,14,3047,674,9
4,8498,The Evil Purple Sox,14,2891,552,9
5,4017,Robopandas,14,2652,492,9
6,40,HAX Robotics,14,2052,661,9
7,3415,Lancers,12,2838,606,9
8,5414,Techie Tornados,12,2750,727,9
9,5319,Wolverines,12,2469,674,9
10,7176,Bionic Tigers,12,2219,559,9
11,4174,Atomic Theory,10,3159,640,9
12,9372,Standard Model,10,3126,567,9
13,4082,RoboSpartans,10,2798,577,9
14,8405,Milburn Robotics,10,2593,577,9
15,5069,Robogamers,10,2511,567,9
16,5602,Bionic Gaels,10,2358,528,9
17,8521,Hard-Hitting Hardware Hooligans,10,2307,559,9
18,8645,Robotic Doges,10,2280,523,9
19,7117,The Blockheads,8,3164,639,9
20,5017,RoboEpic,8,2807,615,9
21,4347,NanoGurus,8,2794,546,9
22,154,Renegade Robotics,8,2546,566,9
23,8227,Enginuity,8,2520,508,9
24,8129,Cane Bots,8,2469,467,9
25,8390,Nerd Herd,8,2467,521,9
26,3540,Roboboogie,8,2416,631,9
27,4554,Robo Mustangs,8,2012,458,9
28,7244,Out of the Box,6,2248,640,9
29,6081,i²robotics,6,2053,563,9
30,7350,Watt's NXT?,6,2050,523,9
31,6700,X-bots,4,2795,512,9
32,6955,Robovines,4,2424,563,9
33,310,StuyFission,4,1020,581,9
34,5272,Heptahelix,2,2433,479,9
35,6037,W.A.G.S.,2,2419,375,9
36,7487,Suffern's Super Seven,2,1847,385,9
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
Q-1,467-339 R,5069,8129,0,4082,8390,0,467.0,50.0,0.0,235.0,182.0,0.0,339.0,50.0,0.0,149.0,80.0,60.0
Q-2,289-449 B,5017,8405,0,3085,7244,0,289.0,70.0,0.0,179.0,30.0,10.0,449.0,50.0,0.0,127.0,172.0,100.0
Q-3,298-304 B,6955,154,0,4554,4017,0,298.0,80.0,0.0,48.0,90.0,80.0,304.0,20.0,0.0,224.0,60.0,0.0
Q-4,186-508 B,7350,40,0,8498,8227,0,186.0,20.0,0.0,86.0,80.0,0.0,508.0,70.0,0.0,118.0,90.0,230.0
Q-5,639-727 B,519,7117,0,5414,6022,0,639.0,140.0,0.0,257.0,212.0,30.0,727.0,110.0,0.0,335.0,282.0,0.0
Q-6,629-181 R,4174,3540,0,310,8521,0,629.0,80.0,0.0,277.0,242.0,30.0,181.0,20.0,0.0,111.0,30.0,20.0
Q-7,567-208 R,9372,5319,0,6081,8645,0,567.0,20.0,0.0,261.0,226.0,60.0,208.0,30.0,0.0,32.0,146.0,0.0
Q-8,329-438 B,6037,5272,0,7176,6700,0,329.0,20.0,0.0,27.0,282.0,0.0,438.0,110.0,0.0,124.0,204.0,0.0
Q-9,448-385 R,5602,3415,0,7487,4347,0,448.0,20.0,0.0,186.0,192.0,50.0,385.0,20.0,0.0,121.0,184.0,60.0
Q-10,473-469 R,8227,6022,0,5069,7244,0,473.0,80.0,0.0,151.0,232.0,10.0,469.0,110.0,0.0,183.0,176.0,0.0
Q-11,362-91 R,4082,40,0,4554,310,0,362.0,20.0,0.0,204.0,138.0,0.0,91.0,20.0,0.0,51.0,20.0,0.0
Q-12,396-352 R,3085,4017,0,6081,8129,0,396.0,80.0,0.0,114.0,192.0,10.0,352.0,20.0,0.0,120.0,212.0,0.0
Q-13,470-347 R,4174,8405,0,5272,8390,0,470.0,50.0,0.0,218.0,202.0,0.0,347.0,20.0,0.0,61.0,206.0,60.0
Q-14,266-381 B,154,6037,0,5414,7117,0,266.0,20.0,0.0,0.0,226.0,20.0,381.0,20.0,0.0,207.0,154.0,0.0
Q-15,421-606 B,9372,8498,0,519,3415,0,421.0,80.0,0.0,103.0,238.0,0.0,606.0,50.0,0.0,324.0,232.0,0.0
Q-16,523-247 R,8645,7350,0,6700,5602,0,523.0,50.0,0.0,267.0,206.0,0.0,247.0,50.0,0.0,27.0,70.0,100.0
Q-17,559-459 R,8521,7176,0,6955,4347,0,559.0,80.0,0.0,211.0,218.0,50.0,459.0,20.0,0.0,225.0,164.0,50.0
Q-18,477-256 R,5319,5017,0,3540,7487,0,477.0,50.0,0.0,177.0,220.0,30.0,256.0,20.0,0.0,136.0,90.0,10.0
Q-19,454-318 R,6081,4174,0,6037,8227,0,454.0,80.0,0.0,192.0,182.0,0.0,318.0,50.0,0.0,88.0,130.0,50.0
