Division,0
Teams,36
Number,Name,School,City,State,Country
6389,The Lazybotts,,,,
4251,Cougar Robotics,,,,
4530,Infinite Resistance,,,,
6133,The NUTS!,,,,
7655,The Q is Silqent,,,,
5140,WACO Aerobotics,,,,
5200,Robots Incorporated,,,,
5391,Enigma Puzzlers,,,,
7152,Robot Squad,,,,
8579,Classical Engineers,,,,
5250,Loading...,,,,
3409,Astromechs,,,,
5037,got robot?,,,,
7229,BZ Bots,,,,
5975,CYBOTS,,,,
6377,The Other Guys,,,,
8743,Raw Bacon,,,,
9041,The Chain Gang,,,,
7351,Dynamic Signals,,,,
4149,Terabytes,,,,
6440,The Metallic Controllers,,,,
3785,Beastie Bots,,,,
8686,Height Differential,,,,
6965,Westwood Robotics Alliance,,,,
6134,Black Frogs,,,,
9430,Typhoons,,,,
7828,Robo Ducks,,,,
4272,MechaMETROZilla,,,,
8688,JrVIBOTS,,,,
5119,Baryons,,,,
5384,Emergency Situation Evacuate NOW!! a Code Red Robotics team,,,,
3664,Girls With Attitude,,,,
7234,Cville-ized Botman,,,,
4507,RoboChargers,,,,
4324,Lost in Time,,,,
5080,Fiery Ghost Peppers?,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,6389,The Lazybotts,16,1737,737,8
2,4251,Cougar Robotics,14,2452,743,8
3,4530,Infinite Resistance,13,2659,684,8
4,6133,The NUTS!,12,2582,743,8
5,7655,The Q is Silqent,12,1514,470,8
6,5140,WACO Aerobotics,11,2504,694,8
7,5200,Robots Incorporated,11,2332,617,8
8,5391,Enigma Puzzlers,11,1924,542,8
9,7152,Robot Squad,10,2618,651,8
10,8579,Classical Engineers,10,2499,691,8
11,5250,Loading...,10,2465,526,8
12,3409,Astromechs,10,2287,585,8
13,5037,got robot?,10,2127,579,8
14,7229,BZ Bots,10,2108,571,8
15,5975,CYBOTS,8,2447,591,8
16,6377,The Other Guys,8,1936,633,8
17,8743,Raw Bacon,8,1904,563,8
18,9041,The Chain Gang,8,1893,642,8
19,7351,Dynamic Signals,8,1869,462,8
20,4149,Terabytes,8,1828,651,8
21,6440,The Metallic Controllers,8,1612,603,8
22,3785,Beastie Bots,8,1608,405,8
23,8686,Height Differential,8,1556,540,8
24,6965,Westwood Robotics Alliance,6,2374,579,8
25,6134,Black Frogs,6,2246,517,8
26,9430,Typhoons,6,2220,526,8
27,7828,Robo Ducks,6,1705,453,8
28,4272,MechaMETROZilla,6,1603,477,8
29,8688,JrVIBOTS,4,1938,456,8
30,5119,Baryons,4,1859,526,8
31,5384,Emergency Situation Evacuate NOW!! a Code Red Robotics team,4,1832,482,8
32,3664,Girls With Attitude,4,1584,422,8
33,7234,Cville-ized Botman,4,1129,494,8
34,4507,RoboChargers,2,2273,617,8
35,4324,Lost in Time,2,2155,466,8
36,5080,Fiery Ghost Peppers?,2,1841,601,8
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
Q-1,422-467 B,6965,3664,0,5119,5140,0,422.0,20.0,0.0,0.0,192.0,210.0,467.0,20.0,0.0,165.0,182.0,100.0
Q-2,651-256 R,7152,4149,0,8688,5080,0,651.0,90.0,0.0,309.0,252.0,0.0,256.0,20.0,0.0,6.0,150.0,80.0
Q-3,514-110 R,6133,6377,0,5391,7828,0,514.0,20.0,0.0,162.0,232.0,100.0,110.0,0.0,0.0,40.0,20.0,50.0
Q-4,148-237 B,5384,7234,0,8686,6389,0,148.0,20.0,0.0,18.0,60.0,50.0,237.0,20.0,0.0,69.0,148.0,0.0
Q-5,407-549 B,4507,9430,0,7229,5037,0,407.0,80.0,0.0,197.0,80.0,50.0,549.0,50.0,0.0,127.0,222.0,150.0
Q-6,305-342 B,5200,7351,0,4251,6134,0,305.0,70.0,0.0,165.0,50.0,20.0,342.0,50.0,0.0,66.0,216.0,10.0
Q-7,405-470 B,5975,8579,0,5250,7655,0,405.0,70.0,0.0,225.0,60.0,50.0,470.0,80.0,0.0,210.0,140.0,40.0
Q-8,343-126 R,3785,4272,0,6440,8743,0,343.0,50.0,0.0,111.0,182.0,0.0,126.0,20.0,0.0,66.0,30.0,10.0
Q-9,350-561 B,4324,9041,0,3409,4530,0,350.0,70.0,0.0,160.0,70.0,50.0,561.0,50.0,0.0,323.0,148.0,40.0
Q-10,267-453 B,4149,6134,0,7828,5037,0,267.0,50.0,0.0,117.0,90.0,10.0,453.0,40.0,0.0,207.0,206.0,0.0
Q-11,526-150 R,5119,9430,0,7234,7351,0,526.0,50.0,0.0,210.0,196.0,70.0,150.0,20.0,0.0,0.0,120.0,10.0
Q-12,116-429 B,8686,3664,0,6133,4272,0,116.0,20.0,0.0,36.0,60.0,0.0,429.0,50.0,0.0,261.0,118.0,0.0
Q-13,466-309 R,4251,4324,0,5250,8688,0,466.0,70.0,0.0,270.0,116.0,10.0,309.0,20.0,0.0,69.0,220.0,0.0
Q-14,323-591 B,6965,5384,0,5975,6377,0,323.0,0.0,0.0,87.0,236.0,0.0,591.0,80.0,0.0,259.0,202.0,50.0
Q-15,298-394 B,5080,4507,0,3785,8579,0,298.0,50.0,0.0,168.0,30.0,50.0,394.0,40.0,0.0,64.0,190.0,100.0
Q-16,539-250 R,6389,3409,0,7229,7655,0,539.0,140.0,0.0,179.0,220.0,0.0,250.0,50.0,0.0,60.0,90.0,50.0
Q-17,331-490 B,6440,9041,0,8743,7152,0,331.0,20.0,0.0,211.0,70.0,30.0,490.0,80.0,0.0,170.0,190.0,50.0
Q-18,542-542 T,5200,5140,0,4530,5391,0,542.0,20.0,0.0,262.0,170.0,90.0,542.0,20.0,0.0,296.0,226.0,0.0
Q-19,512-342 R,8579,4149,0,6965,4272,0,512.0,80.0,0.0,308.0,124.0,0.0,342.0,0.0,0.0,136.0,206.0,0.0
Q-20,424-226 R,3409,8688,0,3785,7351,0,424.0,140.0,0.0,72.0,202.0,10.0,226.0,20.0,0.0,0.0,156.0,50.0
