Division,0
Teams,36
Number,Name,School,City,State,Country
8231,SKYHAWK,,,,
7138,Mechanical Mayhem,,,,
7006,RoboTitans,,,,
7023,HexaSONICS,,,,
4443,Sock Monkeys,,,,
6007,Octopi,,,,
6987,HatTrix,,,,
5972,Patronum Bots,,,,
5466,Combustible Lemons,,,,
6981,Hortonville Robotics,,,,
535,TOBOR,,,,
5452,Robot to the Knee,,,,
4150,Dark Matter,,,,
7228,Stryke Force Special Air Service,,,,
4969,Robot-X,,,,
3620,Furious George,,,,
7129,Robo Raiders,,,,
6127,iBots,,,,
6153,Knights of the Data Table,,,,
3549,Born to be Wired!,,,,
8911,Da vinci Decoders,,,,
8935,Twisted Metal,,,,
3788,Juggernauts,,,,
3631,Middle Earth Mechanics,,,,
6093,Deviation From the Norm,,,,
5289,Goodrich Martians,,,,
5202,Zip Tie Fighters,,,,
6458,Shufflebots,,,,
5209,Operation: BisonBot,,,,
7043,Turbo Turtles,,,,
7190,The Green Girls,,,,
7078,STEMBotics,,,,
4106,Supposable Thumbs,,,,
7158,TechKnow Difficulties,,,,
5149,Robota Red,,,,
7337,Robotium,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,8231,SKYHAWK,14,2464,555,8
2,7138,Mechanical Mayhem,14,1908,577,8
3,7006,RoboTitans,12,2269,477,8
4,7023,HexaSONICS,12,2258,555,8
5,4443,Sock Monkeys,12,2084,533,8
6,6007,Octopi,12,2036,511,8
7,6987,HatTrix,12,1528,396,8
8,5972,Patronum Bots,10,2813,613,8
9,5466,Combustible Lemons,10,2621,577,8
10,6981,Hortonville Robotics,10,2356,541,8
11,535,TOBOR,10,2328,541,8
12,5452,Robot to the Knee,10,2308,544,8
13,4150,Dark Matter,10,2177,535,8
14,7228,Stryke Force Special Air Service,10,2111,533,8
15,4969,Robot-X,10,2070,583,8
16,3620,Furious George,10,1914,466,8
17,7129,Robo Raiders,8,2304,530,8
18,6127,iBots,8,2155,495,8
19,6153,Knights of the Data Table,8,1943,508,8
20,3549,Born to be Wired!,8,1936,599,8
21,8911,Da vinci Decoders,8,1818,483,8
22,8935,Twisted Metal,6,2588,613,8
23,3788,Juggernauts,6,2298,544,8
24,3631,Middle Earth Mechanics,6,2168,535,8
25,6093,Deviation From the Norm,6,2138,449,8
26,5289,Goodrich Martians,6,1985,490,8
27,5202,Zip Tie Fighters,6,1970,483,8
28,6458,Shufflebots,4,2121,468,8
29,5209,Operation: BisonBot,4,2090,494,8
30,7043,Turbo Turtles,4,1997,464,8
31,7190,The Green Girls,4,1926,490,8
32,7078,STEMBotics,4,1845,498,8
33,4106,Supposable Thumbs,4,1844,391,8
34,7158,TechKnow Difficulties,4,1787,416,8
35,5149,Robota Red,4,1236,473,8
36,7337,Robotium,2,2246,444,8
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
Q-1,490-297 R,5289,5452,0,3631,6127,0,490.0,70.0,0.0,220.0,200.0,0.0,297.0,50.0,0.0,75.0,142.0,30.0
Q-2,244-165 R,4106,8911,0,8935,4150,0,244.0,50.0,0.0,60.0,134.0,0.0,165.0,80.0,0.0,27.0,58.0,0.0
Q-3,416-248 R,5466,7158,0,5209,3549,0,416.0,50.0,0.0,132.0,234.0,0.0,248.0,70.0,0.0,138.0,40.0,0.0
Q-4,358-425 B,6093,6007,0,8231,7138,0,358.0,20.0,0.0,212.0,126.0,0.0,425.0,50.0,0.0,129.0,186.0,60.0
Q-5,318-464 B,5972,7190,0,7043,4443,0,318.0,40.0,0.0,114.0,164.0,0.0,464.0,80.0,0.0,194.0,190.0,0.0
Q-6,426-373 R,7023,3620,0,6153,7337,0,426.0,50.0,0.0,114.0,262.0,0.0,373.0,20.0,0.0,213.0,90.0,50.0
Q-7,220-413 B,6458,5149,0,7228,4969,0,220.0,20.0,0.0,0.0,140.0,60.0,413.0,0.0,0.0,161.0,242.0,10.0
Q-8,541-530 R,535,6981,0,7129,3788,0,541.0,140.0,0.0,129.0,262.0,10.0,530.0,50.0,0.0,312.0,158.0,10.0
Q-9,304-152 R,6987,7006,0,5202,7078,0,304.0,50.0,0.0,42.0,182.0,30.0,152.0,50.0,0.0,54.0,48.0,0.0
Q-10,494-535 B,5209,8231,0,3631,4150,0,494.0,20.0,0.0,320.0,154.0,0.0,535.0,80.0,0.0,169.0,226.0,60.0
Q-11,344-130 R,5452,5466,0,5149,7190,0,344.0,70.0,0.0,82.0,182.0,10.0,130.0,20.0,0.0,60.0,40.0,10.0
Q-12,181-477 B,7158,4443,0,6007,7023,0,181.0,20.0,0.0,131.0,20.0,10.0,477.0,120.0,0.0,155.0,202.0,0.0
Q-13,367-350 R,6127,7006,0,4106,535,0,367.0,40.0,0.0,69.0,238.0,20.0,350.0,50.0,0.0,114.0,186.0,0.0
Q-14,551-498 R,5972,7138,0,7078,3788,0,551.0,140.0,0.0,119.0,242.0,50.0,498.0,80.0,0.0,288.0,70.0,60.0
Q-15,430-455 B,4969,7043,0,8935,3620,0,430.0,40.0,0.0,128.0,172.0,90.0,455.0,80.0,0.0,201.0,144.0,30.0
Q-16,328-188 R,7129,6987,0,5289,7337,0,328.0,80.0,0.0,150.0,48.0,50.0,188.0,50.0,0.0,98.0,40.0,0.0
Q-17,485-293 R,7228,6153,0,5202,6093,0,485.0,50.0,0.0,193.0,232.0,10.0,293.0,40.0,0.0,139.0,94.0,20.0
Q-18,176-468 B,8911,3549,0,6458,6981,0,176.0,50.0,0.0,46.0,70.0,10.0,468.0,20.0,0.0,156.0,242.0,50.0
Q-19,297-583 B,4106,5452,0,5972,4969,0,297.0,40.0,0.0,87.0,140.0,30.0,583.0,50.0,0.0,315.0,218.0,0.0
Q-20,169-200 B,7190,3631,0,6987,7158,0,169.0,0.0,0.0,59.0,110.0,0.0,200.0,50.0,0.0,0.0,140.0,10.0
