Division,0
Teams,36
Number,Name,School,City,State,Country
6312,Golden Tigers,,,,
6002,Basilisks,,,,
4855,Batteries In Black,,,,
8716,Techaholix,,,,
5215,THAT Team,,,,
201,BroncoBotics,,,,
3805,Atomic Robotics,,,,
7347,Children of the Matrix,,,,
4512,West Torrance Robotics,,,,
8605,RSF Portal Pounders,,,,
4133,Fusion,,,,
5939,Team AFOOFA,,,,
25,Rock N Roll Robots,,,,
3595,Schrodinger's Hat,,,,
6929,Data Force,,,,
5151,Infinity,,,,
542,WHS Robotics,,,,
3633,Bazinga Bots,,,,
5894,V-Cubed 4H,,,,
8441,Total Reboot,,,,
7832,Gear Gurus,,,,
3825,SnoBotz,,,,
7187,Team Axis,,,,
6148,Orange Pi RoBEARics,,,,
6137,RoBowties,,,,
4238,RCGFofPL,,,,
7198,Cyborg Ferrets,,,,
8045,Gromit's Grommets,,,,
5880,Mad Roboticists,,,,
7391,Error: 7391 Not Found,,,,
7057,Delete*.*,,,,
8660,Charging Champions,,,,
7483,PI Partial Intelligence,,,,
4604,The Force,,,,
6559,Geared Reaction,,,,
5953,Roarbotics,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,6312,Golden Tigers,14,2811,666,9
2,6002,Basilisks,14,2479,695,9
3,4855,Batteries In Black,14,2430,698,9
4,8716,Techaholix,14,1825,596,9
5,5215,THAT Team,12,2024,642,9
6,201,BroncoBotics,12,1867,581,9
7,3805,Atomic Robotics,12,1729,560,9
8,7347,Children of the Matrix,12,1603,617,9
9,4512,West Torrance Robotics,10,2605,605,9
10,8605,RSF Portal Pounders,10,2441,573,9
11,4133,Fusion,10,2413,557,9
12,5939,Team AFOOFA,10,2389,599,9
13,25,Rock N Roll Robots,10,2196,620,9
14,3595,Schrodinger's Hat,10,2168,426,9
15,6929,Data Force,10,2151,608,9
16,5151,Infinity,10,1988,581,9
17,542,WHS Robotics,10,1921,655,9
18,3633,Bazinga Bots,10,1905,698,9
19,5894,V-Cubed 4H,10,1890,605,9
20,8441,Total Reboot,10,1708,574,9
21,7832,Gear Gurus,10,1214,635,9
22,3825,SnoBotz,8,3377,613,9
23,7187,Team Axis,8,3012,608,9
24,6148,Orange Pi RoBEARics,8,2619,572,9
25,6137,RoBowties,8,2540,510,9
26,4238,RCGFofPL,8,2497,655,9
27,7198,Cyborg Ferrets,8,2157,556,9
28,8045,Gromit?s Grommets,8,2111,695,9
29,5880,Mad Roboticists,8,1882,399,9
30,7391,Error: 7391 Not Found,6,1930,666,9
31,7057,Delete*.*,4,2007,563,9
32,8660,Charging Champions,4,1901,444,9
33,7483,PI ? Partial Intelligence,4,1702,505,9
34,4604,The Force,4,1254,560,9
35,6559,Geared Reaction,2,1846,497,9
36,5953,Roarbotics,2,1568,384,9
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
P-1, ,3633,6148,0,7483,6002,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-2, ,3805,3595,0,7832,7347,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-3, ,7198,8045,0,7187,542,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-4, ,7057,7391,0,8660,8441,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-5, ,5880,6137,0,5151,4855,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-6, ,25,5894,0,4512,6929,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-7, ,4238,8716,0,8605,5215,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-8, ,6559,201,0,4604,6312,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
P-9, ,3825,5953,0,5939,4133,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q-1,172-642 B,7483,542,0,6002,5215,0,172.0,50.0,0.0,22.0,100.0,0.0,642.0,100.0,0.0,326.0,206.0,10.0
Q-2,264-108 R,3595,7057,0,8441,8660,0,264.0,50.0,0.0,104.0,80.0,30.0,108.0,20.0,0.0,48.0,40.0,0.0
Q-3,242-524 B,8605,3825,0,8045,4512,0,242.0,80.0,0.0,72.0,90.0,0.0,524.0,110.0,0.0,132.0,182.0,100.0
Q-4,80-416 B,7391,4604,0,5894,6148,0,80.0,20.0,0.0,0.0,40.0,20.0,416.0,80.0,0.0,166.0,160.0,10.0
Q-5,152-225 B,6559,5953,0,6312,5151,0,152.0,70.0,0.0,22.0,10.0,50.0,225.0,50.0,0.0,135.0,30.0,10.0
Q-6,337-164 R,3805,6137,0,25,8716,0,337.0,100.0,0.0,147.0,70.0,20.0,164.0,20.0,0.0,114.0,30.0,0.0
Q-7,88-393 B,4238,7832,0,201,5939,0,88.0,20.0,0.0,48.0,20.0,0.0,393.0,70.0,0.0,243.0,30.0,50.0
Q-8,617-386 R,7347,4855,0,7187,4133,0,617.0,110.0,0.0,215.0,242.0,50.0,386.0,130.0,0.0,68.0,138.0,50.0
Q-9,90-200 B,5880,3633,0,7198,6929,0,90.0,0.0,0.0,0.0,40.0,50.0,200.0,20.0,0.0,30.0,150.0,0.0
Q-10,444-424 R,8605,8660,0,7483,6148,0,444.0,80.0,0.0,162.0,202.0,0.0,424.0,40.0,0.0,12.0,262.0,110.0
Q-11,120-461 B,4512,5953,0,8716,8441,0,120.0,50.0,0.0,40.0,30.0,0.0,461.0,80.0,0.0,191.0,90.0,100.0
Q-12,426-503 B,5151,3595,0,6002,25,0,426.0,110.0,0.0,154.0,162.0,0.0,503.0,70.0,0.0,275.0,118.0,40.0
Q-13,202-465 B,4604,5215,0,201,4855,0,202.0,20.0,0.0,72.0,60.0,50.0,465.0,80.0,0.0,247.0,138.0,0.0
Q-14,227-493 B,542,6137,0,7391,5939,0,227.0,20.0,0.0,147.0,60.0,0.0,493.0,160.0,0.0,81.0,242.0,10.0
Q-15,332-188 R,7347,5894,0,7198,4238,0,332.0,20.0,0.0,176.0,136.0,0.0,188.0,70.0,0.0,48.0,50.0,20.0
Q-16,90-343 B,7832,8045,0,6312,3633,0,90.0,50.0,0.0,0.0,0.0,40.0,343.0,50.0,0.0,153.0,140.0,0.0
